บัญชีรายการวัสดุสิ้นเปลืองประจำปีงบประมาณ พ.ศ. 2567,,,
แนบท้ายประกาศมหาวิทยาลัยราชภัฏเลย ฉบับลงวันที่ 6 มิถุนายน 2567,,,
,,,
ลำดับ,รายการวัสดุ,หน่วยนับ, ราคากลาง 
253,หมึก HP 920XL สีชมพู่ (ฺM) (แท้),กล่อง," 1,290.00 "
254,หมึก Brother NT-1000 (แท้),กล่อง," 1,500.00 "
255,หมึก Brother TN-261BK สีดำ (แท้),กล่อง," 2,550.00 "
256,หมึก Brother TN-261C สีฟ้า (แท้),กล่อง," 2,350.00 "
257,หมึก Brother TN-261Y สีเหลือง (แท้),กล่อง," 2,350.00 "
258,หมึก Brother TN-261M สีชมพู่ (แท้),กล่อง," 2,350.00 "
259,หมึก Brother TN-263BK สีดำ (แท้),กล่อง," 2,550.00 "
260,หมึก Brother TN-263C สีฟ้า (แท้),กล่อง," 2,350.00 "
261,หมึก Brother TN-263Y สีเหลือง (แท้),กล่อง," 2,350.00 "
262,หมึก Brother TN-263M สีชมพู่ (แท้),กล่อง," 2,350.00 "
263,หมึก Canon PG-47 Black,กล่อง, 790.00 
264,หมึก Canon CL-57 Black,กล่อง, 790.00 
265,หมึก Canon 325 Black (แท้),กล่อง," 2,500.00 "
266,หมึก Canon 810 Black (แท้),กล่อง, 990.00 
267,หมึก Canon 811 Color (แท้),กล่อง," 1,290.00 "
268,หมึก Canon 309 Black (แท้),กล่อง," 9,500.00 "
269,หมึก Canon 4045 Black (แท้),กล่อง," 3,858.21 "
270,หมึกเติม EPSON 664 BK สีดำ (แท้),ขวด, 350.00 
271,หมึกเติม EPSON 664 C สีฟ้า (แท้),ขวด, 350.00 
272,หมึกเติม EPSON 664 M สีชมพู่ (แท้),ขวด, 350.00 
273,หมึกเติม EPSON 664 Y สีเหลือง (แท้),ขวด, 350.00 
274,หมึก Samsung D111s,กล่อง," 1,990.00 "
275,หมึก Samsung D203L,กล่อง," 5,500.00 "
พู่กัน,,,
276,พู่กันแบบกลม เบอร์ 4,อัน, 20.00 
277,พู่กันแบบกลม เบอร์ 6,อัน, 25.00 
